date,country,yield10Y
1/1/1960,US,0.0472
2/1/1960,US,0.0449
3/1/1960,US,0.0425
4/1/1960,US,0.0428
5/1/1960,US,0.0435
6/1/1960,US,0.0415
7/1/1960,US,0.039
8/1/1960,US,0.038
9/1/1960,US,0.038
10/1/1960,US,0.0389
11/1/1960,US,0.0393
12/1/1960,US,0.0384
1/1/1961,US,0.0384
2/1/1961,US,0.0378
3/1/1961,US,0.0374
4/1/1961,US,0.0378
5/1/1961,US,0.0371
6/1/1961,US,0.0388
7/1/1961,US,0.0392
8/1/1961,US,0.0404
9/1/1961,US,0.0398
10/1/1961,US,0.0392
11/1/1961,US,0.0394
12/1/1961,US,0.0406
1/1/1962,US,0.0408
2/1/1962,US,0.0404
3/1/1962,US,0.0393
4/1/1962,US,0.0384
5/1/1962,US,0.0387
6/1/1962,US,0.0391
7/1/1962,US,0.0401
8/1/1962,US,0.0398
9/1/1962,US,0.0398
10/1/1962,US,0.0393
11/1/1962,US,0.0392
12/1/1962,US,0.0386
1/1/1963,US,0.0383
2/1/1963,US,0.0392
3/1/1963,US,0.0393
4/1/1963,US,0.0397
5/1/1963,US,0.0393
6/1/1963,US,0.0399
7/1/1963,US,0.0402
8/1/1963,US,0.04
9/1/1963,US,0.0408
10/1/1963,US,0.0411
11/1/1963,US,0.0412
12/1/1963,US,0.0413
1/1/1964,US,0.0417
2/1/1964,US,0.0415
3/1/1964,US,0.0422
4/1/1964,US,0.0423
5/1/1964,US,0.042
6/1/1964,US,0.0417
7/1/1964,US,0.0419
8/1/1964,US,0.0419
9/1/1964,US,0.042
10/1/1964,US,0.0419
11/1/1964,US,0.0415
12/1/1964,US,0.0418
1/1/1965,US,0.0419
2/1/1965,US,0.0421
3/1/1965,US,0.0421
4/1/1965,US,0.042
5/1/1965,US,0.0421
6/1/1965,US,0.0421
7/1/1965,US,0.042
8/1/1965,US,0.0425
9/1/1965,US,0.0429
10/1/1965,US,0.0435
11/1/1965,US,0.0445
12/1/1965,US,0.0462
1/1/1966,US,0.0461
2/1/1966,US,0.0483
3/1/1966,US,0.0487
4/1/1966,US,0.0475
5/1/1966,US,0.0478
6/1/1966,US,0.0481
7/1/1966,US,0.0502
8/1/1966,US,0.0522
9/1/1966,US,0.0518
10/1/1966,US,0.0501
11/1/1966,US,0.0516
12/1/1966,US,0.0484
1/1/1967,US,0.0458
2/1/1967,US,0.0463
3/1/1967,US,0.0454
4/1/1967,US,0.0459
5/1/1967,US,0.0485
6/1/1967,US,0.0502
7/1/1967,US,0.0516
8/1/1967,US,0.0528
9/1/1967,US,0.053
10/1/1967,US,0.0548
11/1/1967,US,0.0575
12/1/1967,US,0.057
1/1/1968,US,0.0553
2/1/1968,US,0.0556
3/1/1968,US,0.0574
4/1/1968,US,0.0564
5/1/1968,US,0.0587
6/1/1968,US,0.0572
7/1/1968,US,0.055
8/1/1968,US,0.0542
9/1/1968,US,0.0546
10/1/1968,US,0.0558
11/1/1968,US,0.057
12/1/1968,US,0.0603
1/1/1969,US,0.0604
2/1/1969,US,0.0619
3/1/1969,US,0.063
4/1/1969,US,0.0617
5/1/1969,US,0.0632
6/1/1969,US,0.0657
7/1/1969,US,0.0672
8/1/1969,US,0.0669
9/1/1969,US,0.0716
10/1/1969,US,0.071
11/1/1969,US,0.0714
12/1/1969,US,0.0765
1/1/1970,US,0.0779
2/1/1970,US,0.0724
3/1/1970,US,0.0707
4/1/1970,US,0.0739
5/1/1970,US,0.0791
6/1/1970,US,0.0784
7/1/1970,US,0.0746
8/1/1970,US,0.0753
9/1/1970,US,0.0739
10/1/1970,US,0.0733
11/1/1970,US,0.0684
12/1/1970,US,0.0639
1/1/1971,US,0.0624
2/1/1971,US,0.0611
3/1/1971,US,0.057
4/1/1971,US,0.0583
5/1/1971,US,0.0639
6/1/1971,US,0.0652
7/1/1971,US,0.0673
8/1/1971,US,0.0658
9/1/1971,US,0.0614
10/1/1971,US,0.0593
11/1/1971,US,0.0581
12/1/1971,US,0.0593
1/1/1972,US,0.0595
2/1/1972,US,0.0608
3/1/1972,US,0.0607
4/1/1972,US,0.0619
5/1/1972,US,0.0613
6/1/1972,US,0.0611
7/1/1972,US,0.0611
8/1/1972,US,0.0621
9/1/1972,US,0.0655
10/1/1972,US,0.0648
11/1/1972,US,0.0628
12/1/1972,US,0.0636
1/1/1973,US,0.0646
2/1/1973,US,0.0664
3/1/1973,US,0.0671
4/1/1973,US,0.0667
5/1/1973,US,0.0685
6/1/1973,US,0.069
7/1/1973,US,0.0713
8/1/1973,US,0.074
9/1/1973,US,0.0709
10/1/1973,US,0.0679
11/1/1973,US,0.0673
12/1/1973,US,0.0674
1/1/1974,US,0.0699
2/1/1974,US,0.0696
3/1/1974,US,0.0721
4/1/1974,US,0.0751
5/1/1974,US,0.0758
6/1/1974,US,0.0754
7/1/1974,US,0.0781
8/1/1974,US,0.0804
9/1/1974,US,0.0804
10/1/1974,US,0.079
11/1/1974,US,0.0768
12/1/1974,US,0.0743
1/1/1975,US,0.075
2/1/1975,US,0.0739
3/1/1975,US,0.0773
4/1/1975,US,0.0823
5/1/1975,US,0.0806
6/1/1975,US,0.0786
7/1/1975,US,0.0806
8/1/1975,US,0.084
9/1/1975,US,0.0843
10/1/1975,US,0.0814
11/1/1975,US,0.0805
12/1/1975,US,0.08
1/1/1976,US,0.0774
2/1/1976,US,0.0779
3/1/1976,US,0.0773
4/1/1976,US,0.0756
5/1/1976,US,0.079
6/1/1976,US,0.0786
7/1/1976,US,0.0783
8/1/1976,US,0.0777
9/1/1976,US,0.0759
10/1/1976,US,0.0741
11/1/1976,US,0.0729
12/1/1976,US,0.0687
1/1/1977,US,0.0721
2/1/1977,US,0.0739
3/1/1977,US,0.0746
4/1/1977,US,0.0737
5/1/1977,US,0.0746
6/1/1977,US,0.0728
7/1/1977,US,0.0733
8/1/1977,US,0.074
9/1/1977,US,0.0734
10/1/1977,US,0.0752
11/1/1977,US,0.0758
12/1/1977,US,0.0769
1/1/1978,US,0.0796
2/1/1978,US,0.0803
3/1/1978,US,0.0804
4/1/1978,US,0.0815
5/1/1978,US,0.0835
6/1/1978,US,0.0846
7/1/1978,US,0.0864
8/1/1978,US,0.0841
9/1/1978,US,0.0842
10/1/1978,US,0.0864
11/1/1978,US,0.0881
12/1/1978,US,0.0901
1/1/1979,US,0.091
2/1/1979,US,0.091
3/1/1979,US,0.0912
4/1/1979,US,0.0918
5/1/1979,US,0.0925
6/1/1979,US,0.0891
7/1/1979,US,0.0895
8/1/1979,US,0.0903
9/1/1979,US,0.0933
10/1/1979,US,0.103
11/1/1979,US,0.1065
12/1/1979,US,0.1039
1/1/1980,US,0.108
2/1/1980,US,0.1241
3/1/1980,US,0.1275
4/1/1980,US,0.1147
5/1/1980,US,0.1018
6/1/1980,US,0.0978
7/1/1980,US,0.1025
8/1/1980,US,0.111
9/1/1980,US,0.1151
10/1/1980,US,0.1175
11/1/1980,US,0.1268
12/1/1980,US,0.1284
1/1/1981,US,0.1257
2/1/1981,US,0.1319
3/1/1981,US,0.1312
4/1/1981,US,0.1368
5/1/1981,US,0.141
6/1/1981,US,0.1347
7/1/1981,US,0.1428
8/1/1981,US,0.1494
9/1/1981,US,0.1532
10/1/1981,US,0.1515
11/1/1981,US,0.1339
12/1/1981,US,0.1372
1/1/1982,US,0.1459
2/1/1982,US,0.1443
3/1/1982,US,0.1386
4/1/1982,US,0.1387
5/1/1982,US,0.1362
6/1/1982,US,0.143
7/1/1982,US,0.1395
8/1/1982,US,0.1306
9/1/1982,US,0.1234
10/1/1982,US,0.1091
11/1/1982,US,0.1055
12/1/1982,US,0.1054
1/1/1983,US,0.1046
2/1/1983,US,0.1072
3/1/1983,US,0.1051
4/1/1983,US,0.104
5/1/1983,US,0.1038
6/1/1983,US,0.1085
7/1/1983,US,0.1138
8/1/1983,US,0.1185
9/1/1983,US,0.1165
10/1/1983,US,0.1154
11/1/1983,US,0.1169
12/1/1983,US,0.1183
1/1/1984,US,0.1167
2/1/1984,US,0.1184
3/1/1984,US,0.1232
4/1/1984,US,0.1263
5/1/1984,US,0.1341
6/1/1984,US,0.1356
7/1/1984,US,0.1336
8/1/1984,US,0.1272
9/1/1984,US,0.1252
10/1/1984,US,0.1216
11/1/1984,US,0.1157
12/1/1984,US,0.115
1/1/1985,US,0.1138
2/1/1985,US,0.1151
3/1/1985,US,0.1186
4/1/1985,US,0.1143
5/1/1985,US,0.1085
6/1/1985,US,0.1016
7/1/1985,US,0.1031
8/1/1985,US,0.1033
9/1/1985,US,0.1037
10/1/1985,US,0.1024
11/1/1985,US,0.0978
12/1/1985,US,0.0926
1/1/1986,US,0.0919
2/1/1986,US,0.087
3/1/1986,US,0.0778
4/1/1986,US,0.073
5/1/1986,US,0.0771
6/1/1986,US,0.078
7/1/1986,US,0.073
8/1/1986,US,0.0717
9/1/1986,US,0.0745
10/1/1986,US,0.0743
11/1/1986,US,0.0725
12/1/1986,US,0.0711
1/1/1987,US,0.0708
2/1/1987,US,0.0725
3/1/1987,US,0.0725
4/1/1987,US,0.0802
5/1/1987,US,0.0861
6/1/1987,US,0.084
7/1/1987,US,0.0845
8/1/1987,US,0.0876
9/1/1987,US,0.0942
10/1/1987,US,0.0952
11/1/1987,US,0.0886
12/1/1987,US,0.0899
1/1/1988,US,0.0867
2/1/1988,US,0.0821
3/1/1988,US,0.0837
4/1/1988,US,0.0872
5/1/1988,US,0.0909
6/1/1988,US,0.0892
7/1/1988,US,0.0906
8/1/1988,US,0.0926
9/1/1988,US,0.0898
10/1/1988,US,0.088
11/1/1988,US,0.0896
12/1/1988,US,0.0911
1/1/1989,US,0.0909
2/1/1989,US,0.0917
3/1/1989,US,0.0936
4/1/1989,US,0.0918
5/1/1989,US,0.0886
6/1/1989,US,0.0828
7/1/1989,US,0.0802
8/1/1989,US,0.0811
9/1/1989,US,0.0819
10/1/1989,US,0.0801
11/1/1989,US,0.0787
12/1/1989,US,0.0784
1/1/1990,US,0.0821
2/1/1990,US,0.0847
3/1/1990,US,0.0859
4/1/1990,US,0.0879
5/1/1990,US,0.0876
6/1/1990,US,0.0848
7/1/1990,US,0.0847
8/1/1990,US,0.0875
9/1/1990,US,0.0889
10/1/1990,US,0.0872
11/1/1990,US,0.0839
12/1/1990,US,0.0808
1/1/1991,US,0.0809
2/1/1991,US,0.0785
3/1/1991,US,0.0811
4/1/1991,US,0.0804
5/1/1991,US,0.0807
6/1/1991,US,0.0828
7/1/1991,US,0.0827
8/1/1991,US,0.079
9/1/1991,US,0.0765
10/1/1991,US,0.0753
11/1/1991,US,0.0742
12/1/1991,US,0.0709
1/1/1992,US,0.0703
2/1/1992,US,0.0734
3/1/1992,US,0.0754
4/1/1992,US,0.0748
5/1/1992,US,0.0739
6/1/1992,US,0.0726
7/1/1992,US,0.0684
8/1/1992,US,0.0659
9/1/1992,US,0.0642
10/1/1992,US,0.0659
11/1/1992,US,0.0687
12/1/1992,US,0.0677
1/1/1993,US,0.066
2/1/1993,US,0.0626
3/1/1993,US,0.0598
4/1/1993,US,0.0597
5/1/1993,US,0.0604
6/1/1993,US,0.0596
7/1/1993,US,0.0581
8/1/1993,US,0.0568
9/1/1993,US,0.0536
10/1/1993,US,0.0533
11/1/1993,US,0.0572
12/1/1993,US,0.0577
1/1/1994,US,0.0575
2/1/1994,US,0.0597
3/1/1994,US,0.0648
4/1/1994,US,0.0697
5/1/1994,US,0.0718
6/1/1994,US,0.071
7/1/1994,US,0.073
8/1/1994,US,0.0724
9/1/1994,US,0.0746
10/1/1994,US,0.0774
11/1/1994,US,0.0796
12/1/1994,US,0.0781
1/1/1995,US,0.0778
2/1/1995,US,0.0747
3/1/1995,US,0.072
4/1/1995,US,0.0706
5/1/1995,US,0.0663
6/1/1995,US,0.0617
7/1/1995,US,0.0628
8/1/1995,US,0.0649
9/1/1995,US,0.062
10/1/1995,US,0.0604
11/1/1995,US,0.0593
12/1/1995,US,0.0571
1/1/1996,US,0.0565
2/1/1996,US,0.0581
3/1/1996,US,0.0627
4/1/1996,US,0.0651
5/1/1996,US,0.0674
6/1/1996,US,0.0691
7/1/1996,US,0.0687
8/1/1996,US,0.0664
9/1/1996,US,0.0683
10/1/1996,US,0.0653
11/1/1996,US,0.062
12/1/1996,US,0.063
1/1/1997,US,0.0658
2/1/1997,US,0.0642
3/1/1997,US,0.0669
4/1/1997,US,0.0689
5/1/1997,US,0.0671
6/1/1997,US,0.0649
7/1/1997,US,0.0622
8/1/1997,US,0.063
9/1/1997,US,0.0621
10/1/1997,US,0.0603
11/1/1997,US,0.0588
12/1/1997,US,0.0581
1/1/1998,US,0.0554
2/1/1998,US,0.0557
3/1/1998,US,0.0565
4/1/1998,US,0.0564
5/1/1998,US,0.0565
6/1/1998,US,0.055
7/1/1998,US,0.0546
8/1/1998,US,0.0534
9/1/1998,US,0.0481
10/1/1998,US,0.0453
11/1/1998,US,0.0483
12/1/1998,US,0.0465
1/1/1999,US,0.0472
2/1/1999,US,0.05
3/1/1999,US,0.0523
4/1/1999,US,0.0518
5/1/1999,US,0.0554
6/1/1999,US,0.059
7/1/1999,US,0.0579
8/1/1999,US,0.0594
9/1/1999,US,0.0592
10/1/1999,US,0.0611
11/1/1999,US,0.0603
12/1/1999,US,0.0628
1/1/2000,US,0.0666
2/1/2000,US,0.0652
3/1/2000,US,0.0626
4/1/2000,US,0.0599
5/1/2000,US,0.0644
6/1/2000,US,0.061
7/1/2000,US,0.0605
8/1/2000,US,0.0583
9/1/2000,US,0.058
10/1/2000,US,0.0574
11/1/2000,US,0.0572
12/1/2000,US,0.0524
1/1/2001,US,0.0516
2/1/2001,US,0.051
3/1/2001,US,0.0489
4/1/2001,US,0.0514
5/1/2001,US,0.0539
6/1/2001,US,0.0528
7/1/2001,US,0.0524
8/1/2001,US,0.0497
9/1/2001,US,0.0473
10/1/2001,US,0.0457
11/1/2001,US,0.0465
12/1/2001,US,0.0509
1/1/2002,US,0.0504
2/1/2002,US,0.0491
3/1/2002,US,0.0528
4/1/2002,US,0.0521
5/1/2002,US,0.0516
6/1/2002,US,0.0493
7/1/2002,US,0.0465
8/1/2002,US,0.0426
9/1/2002,US,0.0387
10/1/2002,US,0.0394
11/1/2002,US,0.0405
12/1/2002,US,0.0403
1/1/2003,US,0.0405
2/1/2003,US,0.039
3/1/2003,US,0.0381
4/1/2003,US,0.0396
5/1/2003,US,0.0357
6/1/2003,US,0.0333
7/1/2003,US,0.0398
8/1/2003,US,0.0445
9/1/2003,US,0.0427
10/1/2003,US,0.0429
11/1/2003,US,0.043
12/1/2003,US,0.0427
1/1/2004,US,0.0415
2/1/2004,US,0.0408
3/1/2004,US,0.0383
4/1/2004,US,0.0435
5/1/2004,US,0.0472
6/1/2004,US,0.0473
7/1/2004,US,0.045
8/1/2004,US,0.0428
9/1/2004,US,0.0413
10/1/2004,US,0.041
11/1/2004,US,0.0419
12/1/2004,US,0.0423
1/1/2005,US,0.0422
2/1/2005,US,0.0417
3/1/2005,US,0.045
4/1/2005,US,0.0434
5/1/2005,US,0.0414
6/1/2005,US,0.04
7/1/2005,US,0.0418
8/1/2005,US,0.0426
9/1/2005,US,0.042
10/1/2005,US,0.0446
11/1/2005,US,0.0454
12/1/2005,US,0.0447
1/1/2006,US,0.0442
2/1/2006,US,0.0457
3/1/2006,US,0.0472
4/1/2006,US,0.0499
5/1/2006,US,0.0511
6/1/2006,US,0.0511
7/1/2006,US,0.0509
8/1/2006,US,0.0488
9/1/2006,US,0.0472
10/1/2006,US,0.0473
11/1/2006,US,0.046
12/1/2006,US,0.0456
1/1/2007,US,0.0476
2/1/2007,US,0.0472
