year,ex_us_hedged_er,ex_us_unhedged_er
1975,0.308754515,0.265607711
1976,-0.006765573,0.016703662
1977,0.164443647,0.295949396
1978,0.087075282,0.213658468
1979,0.012405365,-0.100761255
1980,0.032478594,0.077304581
1981,0.021098763,-0.170508802
1982,0.004146748,-0.136932031
1983,0.224979394,0.153105819
1984,0.13946343,-0.011104465
1985,0.284988696,0.54327147
1986,0.314180002,0.533766768
1987,0.269460296,0.53226859
1988,0.095766687,0.038404106
1989,0.148031028,0.040614137
1990,-0.252780792,-0.125161689
1991,-0.099794442,-0.039924398
1992,-0.147746979,-0.186707843
1993,0.212019881,0.255457226
1994,-0.031734218,0.071476014
1995,-0.012734115,-0.019946361
1996,0.167149659,0.099003856
1997,0.172212329,0.051190542
1998,0.057494447,0.095433115
1999,0.241767301,0.188550782
2000,-0.017681075,-0.13364456
2001,-0.182877253,-0.253909575
2002,-0.300354031,-0.139519197
2003,0.170659968,0.345496371
2004,0.172812724,0.244973088
2005,0.181893001,0.045074336
2006,0.229070255,0.29248465
2007,0.032282775,0.09969012
2008,-0.372758651,-0.385414054
2009,0.206807969,0.272739898
2010,0.04868953,0.071461856
2011,-0.0930849,-0.089884038
2012,0.120146376,0.117652191
2013,0.315749914,0.291171329
2014,0.055109811,-0.047628928
2015,0.080485693,0.023902858
2016,0.04102576,0.031741393
2017,0.195422118,0.268626272
2018,-0.110949772,-0.147596438
2019,0.214162513,0.196431816
2020,0.064729456,0.133394568
2021,0.195823836,0.114351575
2022,-0.061839534,-0.155711567
2023,0.147202179,0.128384936
2024,0.080715767,-0.016813328
2025,0.195722488,0.262878263
